Wall time,Step,Value
1647023380.811359,0,1000.0
1647023386.0739105,1,1000.3681640625
1647023393.505922,2,969.7742919921875
1647023478.3817992,3,944.724365234375
1647023490.3099976,4,924.3589477539062
1647023504.456111,5,921.17919921875
1647023599.6670284,6,894.3203735351562
1647023617.6155305,7,871.9479370117188
1647023637.4323342,8,967.3682250976562
1647023725.8047018,9,965.8173828125
1647023750.3167803,10,928.7294311523438
1647023775.1798463,11,1011.8892211914062
1647023863.216322,12,1178.5679931640625
1647023893.2955813,13,1157.93310546875
1647023923.1454842,14,1265.180908203125
1647024012.246975,15,1208.4161376953125
1647024047.273272,16,1047.0634765625
1647024082.4201887,17,1111.1903076171875
1647024177.6047573,18,1309.8206787109375
1647024214.8405826,19,1017.601806640625
1647024254.928336,20,1048.4033203125
1647024357.5904925,21,1279.821044921875
1647024399.412925,22,1294.5491943359375
1647024442.1517117,23,1268.7452392578125
1647024535.2098753,24,1195.4644775390625
1647024578.3590424,25,1364.447509765625
1647024619.1122842,26,1213.1409912109375
1647024720.0858517,27,1148.8646240234375
1647024767.832162,28,989.7056274414062
1647024814.3699756,29,1181.65185546875
1647024912.8909051,30,1173.6026611328125
1647024966.5670774,31,1184.6890869140625
1647025021.839573,32,1233.6749267578125
1647025133.7581515,33,1263.742919921875
1647025189.283413,34,1306.7994384765625
1647025242.0727935,35,1142.74658203125
1647025347.4676347,36,1334.6629638671875
1647025405.7124214,37,1380.2320556640625
1647025467.6481884,38,1462.0072021484375
1647025579.1679308,39,1594.528564453125
1647025636.6433847,40,1422.9764404296875
1647025705.3949704,41,1586.3529052734375
1647025830.084285,42,1490.18115234375
1647025898.7753685,43,1693.2344970703125
1647025967.4338078,44,1701.46728515625
1647026080.9086444,45,1696.8330078125
1647026144.9978786,46,1687.9263916015625
1647026212.4357178,47,1737.40185546875
1647026317.2955258,48,1535.1168212890625
1647026377.0727613,49,1392.87353515625
1647026439.5895176,50,1522.7681884765625
1647026560.5550601,51,1568.7965087890625
1647026631.5986893,52,1540.25390625
1647026702.1776466,53,1433.3096923828125
1647026831.1851945,54,1599.591064453125
1647026903.716183,55,1626.4864501953125
1647026972.0582464,56,1576.70556640625
1647027101.2373722,57,1663.9644775390625
1647027166.7221332,58,1692.2222900390625
1647027235.3178494,59,1846.09033203125
1647027357.521491,60,1915.0323486328125
1647027437.794,61,1800.274169921875
1647027510.3290014,62,1777.9583740234375
1647027641.9729588,63,1845.686767578125
1647027726.9176836,64,1763.9986572265625
1647027819.0150785,65,1806.629638671875
1647027945.046124,66,1555.1573486328125
1647028024.86931,67,1696.02099609375
1647028112.8189213,68,1775.5614013671875
1647028256.3683639,69,1673.409423828125
1647028348.884029,70,1727.6632080078125
1647028444.162927,71,1721.714599609375
1647028584.7129328,72,1849.546630859375
1647028668.1852689,73,1782.8736572265625
1647028753.1776254,74,1806.1572265625
1647028875.3239794,75,1850.1131591796875
1647028979.5797849,76,1744.673095703125
1647029063.5991457,77,1764.2789306640625
1647029216.2178192,78,1731.31640625
1647029310.6644638,79,1853.3502197265625
1647029401.4339116,80,1731.0657958984375
1647029552.7566562,81,1819.1082763671875
1647029635.128754,82,1653.3570556640625
1647029723.808137,83,1710.19970703125
1647029865.555682,84,1770.208740234375
1647029954.7507114,85,1858.099609375
1647030056.9490278,86,1736.090087890625
1647030218.8025866,87,1632.3734130859375
1647030331.5082102,88,1851.380859375
1647030438.491816,89,1738.8331298828125
1647030582.2109516,90,1795.9765625
1647030672.5892687,91,1814.6673583984375
1647030770.5702994,92,1912.117431640625
1647030917.0143259,93,1940.981201171875
1647031017.487696,94,1841.501708984375
1647031130.1872735,95,1876.5628662109375
1647031297.240671,96,2007.32177734375
1647031406.7454588,97,1991.686279296875
1647031512.712487,98,2036.4951171875
1647031667.9975655,99,2073.84521484375
1647031763.1394968,100,1910.7535400390625
1647031860.0647645,101,1955.299560546875
1647032027.805065,102,2054.678466796875
1647032145.906983,103,1897.146240234375
1647032260.5746727,104,1897.6339111328125
1647032433.2643952,105,1945.9381103515625
1647032537.2737536,106,2039.4794921875
1647032664.093033,107,2084.703857421875
1647032827.1763568,108,2010.00048828125
1647032946.0273159,109,1820.3953857421875
1647033094.326122,110,1885.2471923828125
1647033285.6382968,111,1826.2685546875
1647033432.1216466,112,1890.3602294921875
1647033564.1565802,113,1845.9775390625
1647033754.085913,114,1534.63525390625
1647033908.2134867,115,1488.093017578125
1647034025.715584,116,1647.0078125
1647034229.2548838,117,1580.012939453125
1647034338.1846118,118,1671.2705078125
1647034448.073766,119,1594.4554443359375
1647034635.8574796,120,1750.3812255859375
1647034757.36726,121,1795.7919921875
1647034886.5454295,122,1764.687255859375
1647035054.940743,123,1913.4693603515625
1647035184.2070484,124,1795.4542236328125
1647035326.1793349,125,1824.1619873046875
1647035508.9506216,126,1937.9425048828125
1647035645.0235176,127,1879.9549560546875
1647035793.1376486,128,1949.90478515625
