Wall time,Step,Value
1648666053.4991372,0,1000.0
1648666078.6051855,1,984.3681640625
1648666116.6395686,2,955.1422119140625
1648666290.502989,3,945.743896484375
1648666356.7339325,4,908.6917114257812
1648666431.5054946,5,893.9155883789062
1648666638.9290893,6,941.2669677734375
1648666736.3639882,7,987.2177734375
1648666850.7436965,8,924.62451171875
1648667095.33862,9,958.997802734375
1648667233.2603874,10,967.8388671875
1648667386.1401713,11,995.34716796875
1648667648.0925286,12,1024.9017333984375
1648667821.9825926,13,1074.281982421875
1648668009.858106,14,1030.9593505859375
1648668284.7453063,15,997.7604370117188
1648668482.0453367,16,863.9442138671875
1648668687.5548475,17,938.4443969726562
1648669005.6771207,18,823.0045776367188
1648669244.1462839,19,917.2675170898438
1648669480.5373297,20,785.8681030273438
1648669809.3707738,21,1079.4560546875
1648670053.993508,22,1145.429931640625
1648670302.727042,23,1004.69970703125
1648670650.914505,24,988.5173950195312
1648670938.8562593,25,1048.2607421875
1648671232.6029236,26,1035.8592529296875
1648671644.6340735,27,905.874755859375
1648671967.2023368,28,939.8800659179688
1648672309.5568688,29,1052.0206298828125
1648672741.3169131,30,1128.4610595703125
1648673058.4004931,31,1138.633544921875
1648673364.5618486,32,1149.21142578125
1648673803.6538172,33,1095.1328125
1648674124.6690404,34,1146.6661376953125
1648674459.9981537,35,1274.70654296875
1648674943.3873103,36,872.6008911132812
1648675296.216235,37,985.0535278320312
1648675667.2891061,38,1213.2730712890625
1648676148.5816386,39,1088.5577392578125
1648676557.0809205,40,1252.05712890625
1648676941.2635503,41,970.4546508789062
1648677412.0043738,42,1271.490234375
1648677780.0500588,43,1147.167724609375
1648678176.7985606,44,1163.4327392578125
1648678656.0029726,45,1185.8980712890625
1648679081.247787,46,1085.8511962890625
1648679515.1220694,47,1119.3179931640625
1648680066.2420938,48,1306.0343017578125
1648680498.0640862,49,1266.9345703125
1648680876.1946287,50,1405.68603515625
1648681368.9235184,51,1199.113525390625
1648681788.5876946,52,1265.3638916015625
1648682218.6272874,53,1349.2591552734375
1648682791.8220057,54,1392.9775390625
1648683257.5642025,55,1359.562255859375
1648683693.573991,56,1390.124267578125
1648684251.7648923,57,1442.8492431640625
1648684732.5510566,58,1432.1131591796875
1648685192.2204688,59,1364.4814453125
1648685797.8507924,60,1378.7474365234375
1648686323.2061462,61,1337.808837890625
1648686805.0161026,62,1304.9781494140625
1648687456.6886346,63,1461.0230712890625
1648688000.3215275,64,1401.5423583984375
1648688552.7803998,65,1501.5635986328125
1648689213.586616,66,1528.0927734375
1648689770.375403,67,1414.67041015625
1648690349.9998245,68,1319.078369140625
1648690970.8778987,69,997.4476928710938
1648691539.7207537,70,1239.3143310546875
1648692127.0281174,71,1298.3924560546875
1648692785.8090944,72,1348.3006591796875
1648693379.5999677,73,1318.4656982421875
1648694014.3048272,74,1057.533203125
1648694684.9515631,75,1274.5313720703125
1648695337.5931067,76,1254.5450439453125
1648695919.859488,77,1200.6507568359375
1648696630.1541657,78,1283.8385009765625
1648697248.7727447,79,1302.9837646484375
1648697839.6080441,80,1311.088134765625
1648698540.7554553,81,1307.9344482421875
1648699113.133979,82,1354.1961669921875
1648699673.5542023,83,1205.0560302734375
1648700384.328799,84,1327.5286865234375
1648701028.4519632,85,1348.2630615234375
1648701597.426863,86,1449.7855224609375
1648702411.9557765,87,1354.0887451171875
1648703154.304014,88,1381.2744140625
1648703776.518534,89,1337.1065673828125
1648704485.5180492,90,1408.9447021484375
1648705233.5126598,91,1545.3900146484375
1648705920.038259,92,1433.6514892578125
1648706689.0010633,93,1501.9014892578125
1648707348.918752,94,1465.4967041015625
1648708057.8664997,95,1460.5345458984375
1648708861.752211,96,1346.5560302734375
1648709592.3753812,97,1282.257080078125
1648710370.1488042,98,1517.682861328125
1648711155.8151646,99,1223.5018310546875
1648711918.088862,100,1473.6165771484375
1648712627.309607,101,1526.2056884765625
1648713392.5139246,102,1361.89990234375
1648714054.2897282,103,1467.4442138671875
1648714753.1893618,104,1549.3336181640625
1648715605.2584085,105,1416.3739013671875
1648716380.3896122,106,1439.8538818359375
1648717215.1315324,107,1473.979248046875
1648718029.4794652,108,1008.4605712890625
1648718809.365515,109,1266.2021484375
1648719535.0165377,110,1331.821044921875
1648720438.3552868,111,1149.3448486328125
1648721230.0526645,112,1228.51953125
1648722031.8257468,113,1515.112060546875
1648722905.9056435,114,1375.88037109375
1648723748.550261,115,1376.6787109375
1648724732.7820673,116,1300.91943359375
1648725765.3375382,117,1276.160400390625
1648726657.229886,118,1281.75927734375
1648727602.306056,119,1495.077880859375
1648728586.8603575,120,1452.5784912109375
1648729540.1014566,121,1552.61376953125
1648730476.8294823,122,1538.08837890625
1648731496.979998,123,1459.15283203125
1648732448.582709,124,1554.3350830078125
1648733378.2675357,125,1513.896240234375
1648734391.3325925,126,1385.5755615234375
1648735298.9911811,127,1433.0760498046875
1648736277.5438387,128,1587.104248046875
1648737210.0994015,129,1521.1884765625
1648738131.8811612,130,1501.621337890625
1648739014.0919201,131,1638.5565185546875
1648740078.2288222,132,1561.744873046875
1648740928.858328,133,1600.9241943359375
1648741864.2009254,134,1612.4942626953125
1648742834.348956,135,1549.8701171875
1648743813.0151007,136,1563.905029296875
1648744942.2200942,137,1653.4381103515625
1648746085.9018764,138,1538.494384765625
1648747154.2111304,139,1453.5003662109375
1648748209.6813188,140,1608.5810546875
1648749273.9226923,141,1639.057373046875
1648750330.426786,142,1600.3704833984375
1648751304.7993956,143,1567.3021240234375
1648752384.8483102,144,1526.79052734375
1648753479.4449358,145,1617.2142333984375
1648754517.5727932,146,1506.900146484375
1648755666.8906841,147,1442.268310546875
1648756672.281723,148,1509.4429931640625
1648757652.9062047,149,1610.0155029296875
1648758843.089524,150,1458.6129150390625
1648759943.740136,151,1446.5965576171875
1648760972.256223,152,1573.392822265625
1648761988.537355,153,1595.859375
1648763162.838366,154,1715.7850341796875
1648764207.8137898,155,1635.5535888671875
1648765463.470003,156,1651.263916015625
1648766476.0791314,157,1595.8043212890625
1648767491.5043564,158,1743.7586669921875
1648768659.2828712,159,1747.9537353515625
1648769732.7173839,160,1629.661376953125
1648770887.7005885,161,1492.4920654296875
1648772117.1471307,162,1583.199462890625
1648773316.9151576,163,1713.5714111328125
1648774346.3412864,164,1578.31201171875
1648775603.6672015,165,1718.2974853515625
1648776769.5547147,166,1717.0843505859375
1648777752.6706028,167,1709.5406494140625
1648778792.7536182,168,1726.30029296875
1648779737.9456034,169,1672.87841796875
1648780818.6784306,170,1735.1248779296875
1648781911.6957507,171,1749.0947265625
1648783080.8527486,172,1819.2462158203125
1648784144.1638675,173,1808.16845703125
1648785308.8714435,174,1753.93701171875
1648786415.5472069,175,1771.797607421875
1648787635.8938296,176,1831.990234375
1648788999.3570824,177,1818.58203125
1648790312.6901655,178,1688.525390625
1648791429.1265078,179,1748.9913330078125
1648792569.2405515,180,1860.884521484375
1648793692.3574932,181,1815.688232421875
1648794841.800701,182,1649.15380859375
1648796217.22172,183,1645.7406005859375
1648797374.860204,184,1831.46630859375
1648798522.5160105,185,1782.550048828125
1648799848.2793677,186,1772.41162109375
1648801010.1697936,187,1903.7701416015625
1648802192.6486313,188,1735.7489013671875
1648803481.003939,189,1885.356201171875
1648804716.1723988,190,1871.757568359375
1648805909.871943,191,1673.3841552734375
1648807330.157414,192,1718.8900146484375
1648808508.4537652,193,1791.2615966796875
1648809802.248954,194,1887.5386962890625
1648811361.0045788,195,1781.68212890625
1648812499.3665786,196,1865.0
1648813822.8158474,197,1658.707275390625
1648815365.133098,198,1559.759033203125
1648816764.582363,199,1597.665283203125
1648818234.5765321,200,1678.3817138671875
1648819834.9428601,201,1780.0323486328125
1648821076.644968,202,1618.776611328125
1648822399.3349378,203,1750.06396484375
1648823701.3413029,204,1772.7679443359375
1648824939.6311028,205,1823.329345703125
1648826197.4705093,206,1696.936279296875
1648827577.4977808,207,1857.347412109375
1648828940.0415857,208,1843.95751953125
1648830337.699802,209,1929.128662109375
1648831728.5140238,210,1495.244873046875
1648833034.2326868,211,1551.47216796875
1648834349.8100274,212,1540.642578125
1648835808.302913,213,1508.326416015625
1648837275.353674,214,1504.5728759765625
1648838711.4120588,215,1512.6668701171875
1648840285.4192896,216,1523.8380126953125
1648841616.8783467,217,1605.7705078125
1648843005.956914,218,1835.3184814453125
1648844400.0213287,219,1762.59375
1648845760.5167406,220,1742.37158203125
