Wall time,Step,Value
1647023377.518931,5,2.9385228157043457
1647023386.0872471,18,2.90263032913208
1647023468.5405154,24,2.858309268951416
1647023478.4005175,40,2.7183079719543457
1647023478.4098432,42,2.772336483001709
1647023478.4223988,45,2.7303080558776855
1647023478.430847,47,2.7100987434387207
1647023490.3294303,53,2.7013630867004395
1647023490.3437674,56,2.7864530086517334
1647023583.6793025,71,2.6224770545959473
1647023583.6912243,74,2.661655902862549
1647023617.6347184,94,2.539299726486206
1647023617.6738782,102,2.5583548545837402
1647023703.3383398,105,2.7944512367248535
1647023703.344818,106,2.8186635971069336
1647023703.3785727,113,2.6167776584625244
1647023725.8540542,126,2.5806727409362793
1647023836.1684303,139,2.5883805751800537
1647023863.2246094,150,2.499034881591797
1647023863.2499962,155,2.453352451324463
1647023863.2623057,158,2.460346221923828
1647023893.3315163,167,2.39444637298584
1647023893.3353384,168,2.3644351959228516
1647023978.8393414,178,2.444136142730713
1647024012.261472,183,2.2602169513702393
1647024012.2715871,185,2.3358981609344482
1647024012.2762222,186,2.338026285171509
1647024012.2928054,190,2.3069567680358887
1647024047.309384,198,2.4425480365753174
1647024140.9954207,206,2.54516863822937
1647024140.9997294,207,2.4341163635253906
1647024177.6066394,212,2.521331787109375
1647024214.8424819,223,2.4030396938323975
1647024214.87395,229,2.3135807514190674
1647024315.7184536,234,2.377854824066162
1647024315.7357554,237,2.2496633529663086
1647024357.6151977,249,2.218555450439453
1647024357.6402767,255,2.298424005508423
1647024399.436168,260,2.320216178894043
1647024497.3406763,267,2.3098931312561035
1647024497.362719,271,2.2770497798919678
1647024497.3714273,273,2.2326724529266357
1647024578.387691,292,2.3067398071289062
1647024672.4131663,297,2.2895326614379883
1647024672.4197688,298,2.199673891067505
1647024672.4429781,303,2.4071969985961914
1647024720.0941975,308,2.424712896347046
1647024720.1053753,310,2.4711341857910156
1647024767.8408134,318,2.3188602924346924
1647024767.8466227,319,2.315739393234253
1647024767.8791914,326,2.294097900390625
1647024868.2726915,330,2.31638765335083
1647024912.905178,339,2.325831174850464
1647024966.5690653,347,2.2373721599578857
1647025077.8817813,363,2.328617572784424
1647025077.8987017,367,2.2113800048828125
1647025133.8044755,377,2.1933770179748535
1647025189.2853444,379,2.2300539016723633
1647025521.9820414,421,2.228306770324707
1647025521.9876993,422,2.2174761295318604
1647025579.1698318,430,2.308009386062622
1647025579.212211,439,2.3580641746520996
1647025636.65169,441,2.26998233795166
1647025636.6573296,442,2.186288595199585
1647025636.6715834,445,2.128718852996826
1647025759.134298,451,2.2707953453063965
1647025830.0863762,460,2.361790657043457
1647025830.103553,463,2.294456958770752
1647025830.1084895,464,2.167344093322754
1647025898.7985494,474,2.1924796104431152
1647026080.9228294,491,2.1163854598999023
1647026080.9327245,493,2.076310157775879
1647026259.0165193,507,2.1521782875061035
1647026259.0421517,512,2.219984531402588
1647026259.0507689,514,2.261579990386963
1647026317.3036745,517,2.428957939147949
1647026377.0749607,525,2.2907724380493164
1647026377.1063821,531,2.200484275817871
1647026377.1149476,533,2.2028956413269043
1647026490.7495983,536,2.243483543395996
1647026490.7761884,542,2.258795738220215
1647026560.574176,547,2.17759370803833
1647026631.618112,557,2.0866622924804688
1647026631.643949,563,2.1843690872192383
1647026751.4051673,569,2.268815517425537
1647026831.1871004,573,2.2352700233459473
1647026831.2184393,579,2.2512118816375732
1647026831.2270243,581,2.245835781097412
1647026903.730002,584,2.2998766899108887
1647026903.740233,586,2.253840446472168
1647026903.7448196,587,2.1969900131225586
1647027017.803703,592,2.273653984069824
1647027017.809314,593,2.2970480918884277
1647027101.2512226,602,2.1461188793182373
1647027101.277737,608,2.122931957244873
1647027166.730428,610,2.204029083251953
1647027166.7551856,615,2.0501010417938232
1647027284.2140028,620,2.132383108139038
1647027284.2242885,622,2.2018027305603027
1647027357.5533462,634,2.229318141937256
1647027437.812379,641,2.171682357788086
1647027437.816946,642,2.026190757751465
1647027437.8257008,644,1.940183401107788
1647027437.8339956,646,2.132492780685425
1647027437.8379498,647,2.2034034729003906
1647027555.9829116,649,2.2395119667053223
1647027641.9970202,661,2.2604780197143555
1647027642.0104163,664,2.169313907623291
1647027726.9314802,668,2.0962376594543457
1647027726.9449396,671,2.3263328075408936
1647027726.9573903,674,2.088355541229248
1647027865.4409475,678,2.1797733306884766
1647027865.445928,679,2.1721396446228027
1647027865.463378,683,2.1388821601867676
1647027945.0693634,688,2.2495408058166504
1647028024.9028194,699,2.056577205657959
1647028161.715242,703,2.159114360809326
1647028161.7304177,706,2.0781350135803223
1647028256.3821762,714,2.035839796066284
1647028256.4000618,718,2.1450345516204834
1647028256.4128435,721,2.1712570190429688
