Wall time,Step,Value
1648666053.5429356,18,3.601445198059082
1648666053.6289127,24,3.598818778991699
1648666078.75719,40,3.5048983097076416
1648666078.7981994,42,3.464888572692871
1648666078.8504555,45,3.4760658740997314
1648666237.3600907,56,3.322735071182251
1648666237.634652,71,3.2576217651367188
1648666237.6879725,74,3.255359172821045
1648666290.8032115,94,3.3123302459716797
1648666290.9497154,102,3.171346426010132
1648666356.7780435,106,3.307176351547241
1648666357.078016,126,3.1340744495391846
1648666547.5995681,155,3.389727830886841
1648666547.6482475,158,3.2666001319885254
1648666639.0806196,167,3.3737897872924805
1648666639.23885,178,3.333052635192871
1648666639.3308907,183,3.1926631927490234
1648666639.3677545,185,3.3023178577423096
1648666736.4434898,190,3.327190399169922
1648666969.2055707,229,3.2270474433898926
1648666969.2796838,234,3.342332363128662
1648667095.4740562,249,3.258219003677368
1648667095.5835187,255,3.237093687057495
1648667095.6483667,260,3.197326183319092
1648667095.7553058,267,3.1081674098968506
1648667233.2972066,273,3.0361475944519043
1648667233.5734556,292,3.159226655960083
1648667497.5616264,308,3.3577733039855957
1648667497.59439,310,3.3975627422332764
1648667497.7033372,318,3.2128400802612305
1648667648.1578815,330,3.313786268234253
1648667648.3291373,339,3.188340425491333
1648667648.4862444,347,3.182215690612793
1648667822.135074,363,3.1539645195007324
1648667822.182285,367,3.1148593425750732
1648668285.030492,421,3.0518133640289307
1648668285.0468917,422,2.946540355682373
1648668482.200617,439,3.008297920227051
1648668482.2560432,442,3.109426259994507
1648668482.3052034,445,2.938671588897705
1648668791.7977555,460,3.0033020973205566
1648668791.8374844,463,2.994955062866211
1648668791.854339,464,3.0231704711914062
1648668792.004481,474,2.9901773929595947
1648669005.9361863,493,3.079543113708496
1648669244.3904104,514,3.012450933456421
1648669573.8600109,531,3.0920207500457764
1648669573.9326649,536,2.978529214859009
1648669809.6383202,563,2.9447758197784424
1648670054.0389025,573,2.976900577545166
1648670054.1421573,579,3.0496416091918945
1648670054.249633,586,2.8396053314208984
1648670054.2646575,587,2.929778575897217
1648670400.3541253,602,3.067748785018921
1648670650.9382129,620,2.8654446601867676
1648670650.9738421,622,2.930189847946167
1648670651.188879,634,2.86275577545166
1648670651.3020813,641,2.829136848449707
1648670651.3214688,642,2.8529555797576904
1648670938.864861,644,2.8304781913757324
1648670938.9097636,647,2.809504985809326
1648670938.9410203,649,2.753185749053955
1648670939.1387384,661,2.7756099700927734
1648671332.7395365,671,3.5719544887542725
1648671333.0206494,688,3.138429880142212
1648671644.9918,714,3.0126771926879883
1648671967.2318652,718,3.0406460762023926
1648671967.2890935,722,3.002601146697998
1648671967.410553,730,2.9059805870056152
1648671967.544228,739,2.977508544921875
1648672408.9273078,743,2.8757424354553223
1648672409.0765898,752,2.8672327995300293
1648672409.1353009,756,2.7784810066223145
1648672409.2924473,765,2.931581735610962
1648672741.3785486,769,2.934880018234253
1648672741.4107938,771,2.9407901763916016
1648672741.4400072,773,2.8540613651275635
1648672741.5742102,780,2.85857892036438
1648672741.6589937,785,2.8418774604797363
1648672741.6906834,787,2.930152654647827
1648673058.4307342,792,2.761420726776123
1648673058.4672716,794,2.843709945678711
1648673058.54392,798,2.8064308166503906
1648673058.5998003,802,2.745405912399292
1648673058.6871235,808,2.874577045440674
1648673058.7029433,809,2.787158489227295
1648673458.8657072,832,2.871318817138672
1648673458.9403815,836,2.904240846633911
1648674124.7921717,869,2.7519261837005615
1648674124.899675,876,2.731559991836548
1648674125.0037785,882,2.7763373851776123
1648674552.148771,896,2.9307334423065186
1648674552.210692,900,2.9083504676818848
1648674552.3308134,907,2.8811347484588623
1648674943.4117308,909,2.9288077354431152
1648674943.5029507,915,2.8678648471832275
1648674943.540371,917,2.8436036109924316
1648675296.2247763,931,2.9005279541015625
